Questions,Acceptance Rate,Difficulty,Links
315. Count of Smaller Numbers After Self,42.50%,Hard,https://leetcode.com/problems/count-of-smaller-numbers-after-self/
316. Remove Duplicate Letters,45.30%,Medium,https://leetcode.com/problems/remove-duplicate-letters/
317. Shortest Distance from All Buildings,42.60%,Hard,https://leetcode.com/problems/shortest-distance-from-all-buildings/
318. Maximum Product of Word Lengths,59.90%,Medium,https://leetcode.com/problems/maximum-product-of-word-lengths/
319. Bulb Switcher,52.50%,Medium,https://leetcode.com/problems/bulb-switcher/
320. Generalized Abbreviation,57.80%,Medium,https://leetcode.com/problems/generalized-abbreviation/
321. Create Maximum Number,29.20%,Hard,https://leetcode.com/problems/create-maximum-number/
322. Coin Change,42.20%,Medium,https://leetcode.com/problems/coin-change/
323. Number of Connected Components in an Undirected Graph,62.30%,Medium,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
324. Wiggle Sort II,33.50%,Medium,https://leetcode.com/problems/wiggle-sort-ii/
325. Maximum Size Subarray Sum Equals k,49.20%,Medium,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/
326. Power of Three,45.60%,Easy,https://leetcode.com/problems/power-of-three/
327. Count of Range Sum,35.80%,Hard,https://leetcode.com/problems/count-of-range-sum/
328. Odd Even Linked List,61.30%,Medium,https://leetcode.com/problems/odd-even-linked-list/
329. Longest Increasing Path in a Matrix,52.50%,Hard,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
330. Patching Array,40.40%,Hard,https://leetcode.com/problems/patching-array/
331. Verify Preorder Serialization of a Binary Tree,44.60%,Medium,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/
332. Reconstruct Itinerary,41.30%,Hard,https://leetcode.com/problems/reconstruct-itinerary/
333. Largest BST Subtree,42.90%,Medium,https://leetcode.com/problems/largest-bst-subtree/
334. Increasing Triplet Subsequence,42.60%,Medium,https://leetcode.com/problems/increasing-triplet-subsequence/
335. Self Crossing,29.50%,Hard,https://leetcode.com/problems/self-crossing/
336. Palindrome Pairs,35.00%,Hard,https://leetcode.com/problems/palindrome-pairs/
337. House Robber III,53.90%,Medium,https://leetcode.com/problems/house-robber-iii/
338. Counting Bits,75.90%,Easy,https://leetcode.com/problems/counting-bits/
339. Nested List Weight Sum,82.30%,Medium,https://leetcode.com/problems/nested-list-weight-sum/
340. Longest Substring with At Most K Distinct Characters,48.00%,Medium,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/
341. Flatten Nested List Iterator,61.90%,Medium,https://leetcode.com/problems/flatten-nested-list-iterator/
342. Power of Four,46.30%,Easy,https://leetcode.com/problems/power-of-four/
343. Integer Break,56.20%,Medium,https://leetcode.com/problems/integer-break/
344. Reverse String,76.90%,Easy,https://leetcode.com/problems/reverse-string/
345. Reverse Vowels of a String,50.30%,Easy,https://leetcode.com/problems/reverse-vowels-of-a-string/
346. Moving Average from Data Stream,77.10%,Easy,https://leetcode.com/problems/moving-average-from-data-stream/
347. Top K Frequent Elements,64.20%,Medium,https://leetcode.com/problems/top-k-frequent-elements/
348. Design Tic-Tac-Toe,57.60%,Medium,https://leetcode.com/problems/design-tic-tac-toe/
349. Intersection of Two Arrays,71.10%,Easy,https://leetcode.com/problems/intersection-of-two-arrays/
350. Intersection of Two Arrays II,56.10%,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii/
351. Android Unlock Patterns,51.60%,Medium,https://leetcode.com/problems/android-unlock-patterns/
352. Data Stream as Disjoint Intervals,59.70%,Hard,https://leetcode.com/problems/data-stream-as-disjoint-intervals/
353. Design Snake Game,39.10%,Medium,https://leetcode.com/problems/design-snake-game/
354. Russian Doll Envelopes,37.90%,Hard,https://leetcode.com/problems/russian-doll-envelopes/
355. Design Twitter,37.50%,Medium,https://leetcode.com/problems/design-twitter/
356. Line Reflection,34.90%,Medium,https://leetcode.com/problems/line-reflection/
357. Count Numbers with Unique Digits,51.90%,Medium,https://leetcode.com/problems/count-numbers-with-unique-digits/
358. Rearrange String k Distance Apart,37.80%,Hard,https://leetcode.com/problems/rearrange-string-k-distance-apart/
359. Logger Rate Limiter,75.60%,Easy,https://leetcode.com/problems/logger-rate-limiter/
360. Sort Transformed Array,55.10%,Medium,https://leetcode.com/problems/sort-transformed-array/
361. Bomb Enemy,51.40%,Medium,https://leetcode.com/problems/bomb-enemy/
362. Design Hit Counter,68.40%,Medium,https://leetcode.com/problems/design-hit-counter/
363. Max Sum of Rectangle No Larger Than K,44.00%,Hard,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k/
364. Nested List Weight Sum II,66.50%,Medium,https://leetcode.com/problems/nested-list-weight-sum-ii/
365. Water and Jug Problem,38.00%,Medium,https://leetcode.com/problems/water-and-jug-problem/
366. Find Leaves of Binary Tree,80.30%,Medium,https://leetcode.com/problems/find-leaves-of-binary-tree/
367. Valid Perfect Square,43.40%,Easy,https://leetcode.com/problems/valid-perfect-square/
368. Largest Divisible Subset,41.60%,Medium,https://leetcode.com/problems/largest-divisible-subset/
369. Plus One Linked List,61.00%,Medium,https://leetcode.com/problems/plus-one-linked-list/
370. Range Addition,71.20%,Medium,https://leetcode.com/problems/range-addition/
371. Sum of Two Integers,50.70%,Medium,https://leetcode.com/problems/sum-of-two-integers/
372. Super Pow,36.10%,Medium,https://leetcode.com/problems/super-pow/
373. Find K Pairs with Smallest Sums,38.30%,Medium,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
374. Guess Number Higher or Lower,52.00%,Easy,https://leetcode.com/problems/guess-number-higher-or-lower/
375. Guess Number Higher or Lower II,47.00%,Medium,https://leetcode.com/problems/guess-number-higher-or-lower-ii/
376. Wiggle Subsequence,48.40%,Medium,https://leetcode.com/problems/wiggle-subsequence/
377. Combination Sum IV,52.20%,Medium,https://leetcode.com/problems/combination-sum-iv/
378. Kth Smallest Element in a Sorted Matrix,61.80%,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
379. Design Phone Directory,51.20%,Medium,https://leetcode.com/problems/design-phone-directory/
380. Insert Delete GetRandom O(1),52.80%,Medium,https://leetcode.com/problems/insert-delete-getrandom-o1/
381. Insert Delete GetRandom O(1) - Duplicates allowed,35.50%,Hard,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/
382. Linked List Random Node,62.80%,Medium,https://leetcode.com/problems/linked-list-random-node/
383. Ransom Note,58.50%,Easy,https://leetcode.com/problems/ransom-note/
384. Shuffle an Array,57.90%,Medium,https://leetcode.com/problems/shuffle-an-array/
385. Mini Parser,37.00%,Medium,https://leetcode.com/problems/mini-parser/
386. Lexicographical Numbers,61.80%,Medium,https://leetcode.com/problems/lexicographical-numbers/
387. First Unique Character in a String,59.80%,Easy,https://leetcode.com/problems/first-unique-character-in-a-string/
388. Longest Absolute File Path,46.70%,Medium,https://leetcode.com/problems/longest-absolute-file-path/
389. Find the Difference,59.70%,Easy,https://leetcode.com/problems/find-the-difference/
390. Elimination Game,45.90%,Medium,https://leetcode.com/problems/elimination-game/
391. Perfect Rectangle,32.90%,Hard,https://leetcode.com/problems/perfect-rectangle/
392. Is Subsequence,47.40%,Easy,https://leetcode.com/problems/is-subsequence/
393. UTF-8 Validation,45.10%,Medium,https://leetcode.com/problems/utf-8-validation/
394. Decode String,58.00%,Medium,https://leetcode.com/problems/decode-string/
395. Longest Substring with At Least K Repeating Characters,44.70%,Medium,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/
396. Rotate Function,41.30%,Medium,https://leetcode.com/problems/rotate-function/
397. Integer Replacement,35.20%,Medium,https://leetcode.com/problems/integer-replacement/
398. Random Pick Index,62.50%,Medium,https://leetcode.com/problems/random-pick-index/
399. Evaluate Division,61.30%,Medium,https://leetcode.com/problems/evaluate-division/
400. Nth Digit,34.20%,Medium,https://leetcode.com/problems/nth-digit/
401. Binary Watch,52.60%,Easy,https://leetcode.com/problems/binary-watch/
402. Remove K Digits,30.60%,Medium,https://leetcode.com/problems/remove-k-digits/
403. Frog Jump,43.10%,Hard,https://leetcode.com/problems/frog-jump/
404. Sum of Left Leaves,56.90%,Easy,https://leetcode.com/problems/sum-of-left-leaves/
405. Convert a Number to Hexadecimal,46.90%,Easy,https://leetcode.com/problems/convert-a-number-to-hexadecimal/
406. Queue Reconstruction by Height,73.00%,Medium,https://leetcode.com/problems/queue-reconstruction-by-height/
407. Trapping Rain Water II,47.60%,Hard,https://leetcode.com/problems/trapping-rain-water-ii/
408. Valid Word Abbreviation,34.80%,Easy,https://leetcode.com/problems/valid-word-abbreviation/
409. Longest Palindrome,54.10%,Easy,https://leetcode.com/problems/longest-palindrome/
410. Split Array Largest Sum,53.60%,Hard,https://leetcode.com/problems/split-array-largest-sum/
411. Minimum Unique Word Abbreviation,39.50%,Hard,https://leetcode.com/problems/minimum-unique-word-abbreviation/
412. Fizz Buzz,70.20%,Easy,https://leetcode.com/problems/fizz-buzz/
413. Arithmetic Slices,65.10%,Medium,https://leetcode.com/problems/arithmetic-slices/
414. Third Maximum Number,33.40%,Easy,https://leetcode.com/problems/third-maximum-number/
415. Add Strings,52.40%,Easy,https://leetcode.com/problems/add-strings/
416. Partition Equal Subset Sum,46.20%,Medium,https://leetcode.com/problems/partition-equal-subset-sum/
417. Pacific Atlantic Water Flow,54.50%,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/
418. Sentence Screen Fitting,35.60%,Medium,https://leetcode.com/problems/sentence-screen-fitting/
419. Battleships in a Board,74.90%,Medium,https://leetcode.com/problems/battleships-in-a-board/
420. Strong Password Checker,13.70%,Hard,https://leetcode.com/problems/strong-password-checker/
421. Maximum XOR of Two Numbers in an Array,53.80%,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
422. Valid Word Square,40.10%,Easy,https://leetcode.com/problems/valid-word-square/
423. Reconstruct Original Digits from English,51.20%,Medium,https://leetcode.com/problems/reconstruct-original-digits-from-english/
424. Longest Repeating Character Replacement,52.10%,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
425. Word Squares,52.90%,Hard,https://leetcode.com/problems/word-squares/
426. Convert Binary Search Tree to Sorted Doubly Linked List,64.70%,Medium,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/
427. Construct Quad Tree,74.60%,Medium,https://leetcode.com/problems/construct-quad-tree/
428. Serialize and Deserialize N-ary Tree,66.10%,Hard,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/
429. N-ary Tree Level Order Traversal,70.70%,Medium,https://leetcode.com/problems/n-ary-tree-level-order-traversal/
430. Flatten a Multilevel Doubly Linked List,59.70%,Medium,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/
431. Encode N-ary Tree to Binary Tree,78.90%,Hard,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree/
432. All O`one Data Structure,36.60%,Hard,https://leetcode.com/problems/all-oone-data-structure/
433. Minimum Genetic Mutation,52.50%,Medium,https://leetcode.com/problems/minimum-genetic-mutation/
434. Number of Segments in a String,36.90%,Easy,https://leetcode.com/problems/number-of-segments-in-a-string/
435. Non-overlapping Intervals,50.40%,Medium,https://leetcode.com/problems/non-overlapping-intervals/
436. Find Right Interval,51.00%,Medium,https://leetcode.com/problems/find-right-interval/
437. Path Sum III,47.80%,Medium,https://leetcode.com/problems/path-sum-iii/
438. Find All Anagrams in a String,50.20%,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/
439. Ternary Expression Parser,58.50%,Medium,https://leetcode.com/problems/ternary-expression-parser/
440. K-th Smallest in Lexicographical Order,31.30%,Hard,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order/
441. Arranging Coins,46.30%,Easy,https://leetcode.com/problems/arranging-coins/
442. Find All Duplicates in an Array,73.50%,Medium,https://leetcode.com/problems/find-all-duplicates-in-an-array/
443. String Compression,52.40%,Medium,https://leetcode.com/problems/string-compression/
444. Sequence Reconstruction,26.80%,Medium,https://leetcode.com/problems/sequence-reconstruction/
445. Add Two Numbers II,59.70%,Medium,https://leetcode.com/problems/add-two-numbers-ii/
446. Arithmetic Slices II - Subsequence,46.60%,Hard,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/
447. Number of Boomerangs,55.00%,Medium,https://leetcode.com/problems/number-of-boomerangs/
448. Find All Numbers Disappeared in an Array,60.00%,Easy,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/
449. Serialize and Deserialize BST,57.10%,Medium,https://leetcode.com/problems/serialize-and-deserialize-bst/
450. Delete Node in a BST,50.40%,Medium,https://leetcode.com/problems/delete-node-in-a-bst/
451. Sort Characters By Frequency,70.10%,Medium,https://leetcode.com/problems/sort-characters-by-frequency/
452. Minimum Number of Arrows to Burst Balloons,55.30%,Medium,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
453. Minimum Moves to Equal Array Elements,56.00%,Medium,https://leetcode.com/problems/minimum-moves-to-equal-array-elements/
454. 4Sum II,57.20%,Medium,https://leetcode.com/problems/4sum-ii/
455. Assign Cookies,49.90%,Easy,https://leetcode.com/problems/assign-cookies/
456. 132 Pattern,32.40%,Medium,https://leetcode.com/problems/132-pattern/
457. Circular Array Loop,32.80%,Medium,https://leetcode.com/problems/circular-array-loop/
458. Poor Pigs,62.40%,Hard,https://leetcode.com/problems/poor-pigs/
459. Repeated Substring Pattern,43.70%,Easy,https://leetcode.com/problems/repeated-substring-pattern/
460. LFU Cache,43.20%,Hard,https://leetcode.com/problems/lfu-cache/
461. Hamming Distance,75.00%,Easy,https://leetcode.com/problems/hamming-distance/
462. Minimum Moves to Equal Array Elements II,60.00%,Medium,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/
463. Island Perimeter,69.70%,Easy,https://leetcode.com/problems/island-perimeter/
464. Can I Win,29.60%,Medium,https://leetcode.com/problems/can-i-win/
465. Optimal Account Balancing,49.20%,Hard,https://leetcode.com/problems/optimal-account-balancing/
466. Count The Repetitions,29.50%,Hard,https://leetcode.com/problems/count-the-repetitions/
467. Unique Substrings in Wraparound String,38.70%,Medium,https://leetcode.com/problems/unique-substrings-in-wraparound-string/
468. Validate IP Address,26.60%,Medium,https://leetcode.com/problems/validate-ip-address/
469. Convex Polygon,39.10%,Medium,https://leetcode.com/problems/convex-polygon/
470. Implement Rand10() Using Rand7(),46.20%,Medium,https://leetcode.com/problems/implement-rand10-using-rand7/
471. Encode String with Shortest Length,50.60%,Hard,https://leetcode.com/problems/encode-string-with-shortest-length/
472. Concatenated Words,49.90%,Hard,https://leetcode.com/problems/concatenated-words/
473. Matchsticks to Square,40.20%,Medium,https://leetcode.com/problems/matchsticks-to-square/
474. Ones and Zeroes,46.80%,Medium,https://leetcode.com/problems/ones-and-zeroes/
475. Heaters,36.60%,Medium,https://leetcode.com/problems/heaters/
