Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
219. Contains Duplicate II,42.70%,Easy,https://leetcode.com/problems/contains-duplicate-ii/,4.9K,"Array,Hash Table,Sliding Window",
220. Contains Duplicate III,22.20%,Hard,https://leetcode.com/problems/contains-duplicate-iii/,582,"Array,Sliding Window,Sorting,Bucket Sort,Ordered Set",
221. Maximal Square,45.10%,Medium,https://leetcode.com/problems/maximal-square/,8.8K,"Array,Dynamic Programming,Matrix",
222. Count Complete Tree Nodes,60.80%,Medium,https://leetcode.com/problems/count-complete-tree-nodes/,7.4K,"Binary Search,Tree,Depth-First Search,Binary Tree",
223. Rectangle Area,45.20%,Medium,https://leetcode.com/problems/rectangle-area/,1.8K,"Math,Geometry",
224. Basic Calculator,42.50%,Hard,https://leetcode.com/problems/basic-calculator/,5.4K,"Math,String,Stack,Recursion",
225. Implement Stack using Queues,59.00%,Easy,https://leetcode.com/problems/implement-stack-using-queues/,4.3K,"Stack,Design,Queue",
226. Invert Binary Tree,74.90%,Easy,https://leetcode.com/problems/invert-binary-tree/,12.2K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
227. Basic Calculator II,42.50%,Medium,https://leetcode.com/problems/basic-calculator-ii/,5.5K,"Math,String,Stack",
228. Summary Ranges,47.40%,Easy,https://leetcode.com/problems/summary-ranges/,2.6K,Array,
229. Majority Element II,45.50%,Medium,https://leetcode.com/problems/majority-element-ii/,7.2K,"Array,Hash Table,Sorting,Counting",
230. Kth Smallest Element in a BST,70.40%,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,9.7K,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",
231. Power of Two,46.10%,Easy,https://leetcode.com/problems/power-of-two/,5.3K,"Math,Bit Manipulation,Recursion",
232. Implement Queue using Stacks,63.40%,Easy,https://leetcode.com/problems/implement-queue-using-stacks/,6K,"Stack,Design,Queue",
233. Number of Digit One,33.90%,Hard,https://leetcode.com/problems/number-of-digit-one/,1.2K,"Math,Dynamic Programming,Recursion",
234. Palindrome Linked List,50.40%,Easy,https://leetcode.com/problems/palindrome-linked-list/,14K,"Linked List,Two Pointers,Stack,Recursion",
235. Lowest Common Ancestor of a Binary Search Tree,61.90%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,9.4K,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",
236. Lowest Common Ancestor of a Binary Tree,59.10%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,14K,"Tree,Depth-First Search,Binary Tree",
237. Delete Node in a Linked List,76.30%,Medium,https://leetcode.com/problems/delete-node-in-a-linked-list/,2.9K,Linked List,
238. Product of Array Except Self,65.10%,Medium,https://leetcode.com/problems/product-of-array-except-self/,17.6K,"Array,Prefix Sum",
239. Sliding Window Maximum,46.20%,Hard,https://leetcode.com/problems/sliding-window-maximum/,14.4K,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",
240. Search a 2D Matrix II,51.10%,Medium,https://leetcode.com/problems/search-a-2d-matrix-ii/,10.4K,"Array,Binary Search,Divide and Conquer,Matrix",
241. Different Ways to Add Parentheses,64.10%,Medium,https://leetcode.com/problems/different-ways-to-add-parentheses/,4.7K,"Math,String,Dynamic Programming,Recursion,Memoization",
242. Valid Anagram,63.10%,Easy,https://leetcode.com/problems/valid-anagram/,9.1K,"Hash Table,String,Sorting",
243. Shortest Word Distance,65.10%,Easy,https://leetcode.com/problems/shortest-word-distance/,,,True
244. Shortest Word Distance II,60.90%,Medium,https://leetcode.com/problems/shortest-word-distance-ii/,,,True
245. Shortest Word Distance III,58.10%,Medium,https://leetcode.com/problems/shortest-word-distance-iii/,,,True
246. Strobogrammatic Number,47.70%,Easy,https://leetcode.com/problems/strobogrammatic-number/,,,True
247. Strobogrammatic Number II,51.60%,Medium,https://leetcode.com/problems/strobogrammatic-number-ii/,,,True
248. Strobogrammatic Number III,42.00%,Hard,https://leetcode.com/problems/strobogrammatic-number-iii/,,,True
249. Group Shifted Strings,64.30%,Medium,https://leetcode.com/problems/group-shifted-strings/,,,True
250. Count Univalue Subtrees,55.50%,Medium,https://leetcode.com/problems/count-univalue-subtrees/,,,True
251. Flatten 2D Vector,49.20%,Medium,https://leetcode.com/problems/flatten-2d-vector/,,,True
252. Meeting Rooms,57.30%,Easy,https://leetcode.com/problems/meeting-rooms/,,,True
253. Meeting Rooms II,50.60%,Medium,https://leetcode.com/problems/meeting-rooms-ii/,,,True
254. Factor Combinations,49.10%,Medium,https://leetcode.com/problems/factor-combinations/,,,True
255. Verify Preorder Sequence in Binary Search Tree,48.30%,Medium,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,,,True
256. Paint House,61.20%,Medium,https://leetcode.com/problems/paint-house/,,,True
257. Binary Tree Paths,61.60%,Easy,https://leetcode.com/problems/binary-tree-paths/,5.7K,"String,Backtracking,Tree,Depth-First Search,Binary Tree",
258. Add Digits,65.70%,Easy,https://leetcode.com/problems/add-digits/,4.2K,"Math,Simulation,Number Theory",
259. 3Sum Smaller,50.60%,Medium,https://leetcode.com/problems/3sum-smaller/,,,True
260. Single Number III,67.70%,Medium,https://leetcode.com/problems/single-number-iii/,5K,"Array,Bit Manipulation",
261. Graph Valid Tree,47.20%,Medium,https://leetcode.com/problems/graph-valid-tree/,,,True
262. Trips and Users,37.00%,Hard,https://leetcode.com/problems/trips-and-users/,1K,Database,
263. Ugly Number,42.20%,Easy,https://leetcode.com/problems/ugly-number/,2.9K,Math,
264. Ugly Number II,46.20%,Medium,https://leetcode.com/problems/ugly-number-ii/,5.4K,"Hash Table,Math,Dynamic Programming,Heap (Priority Queue)",
265. Paint House II,53.50%,Hard,https://leetcode.com/problems/paint-house-ii/,,,True
266. Palindrome Permutation,66.10%,Easy,https://leetcode.com/problems/palindrome-permutation/,,,True
267. Palindrome Permutation II,40.80%,Medium,https://leetcode.com/problems/palindrome-permutation-ii/,,,True
268. Missing Number,62.90%,Easy,https://leetcode.com/problems/missing-number/,9.4K,"Array,Hash Table,Math,Binary Search,Bit Manipulation,Sorting",
269. Alien Dictionary,35.30%,Hard,https://leetcode.com/problems/alien-dictionary/,,,True
270. Closest Binary Search Tree Value,54.40%,Easy,https://leetcode.com/problems/closest-binary-search-tree-value/,,,True
271. Encode and Decode Strings,43.20%,Medium,https://leetcode.com/problems/encode-and-decode-strings/,,,True
272. Closest Binary Search Tree Value II,58.50%,Hard,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,,,True
273. Integer to English Words,30.00%,Hard,https://leetcode.com/problems/integer-to-english-words/,2.7K,"Math,String,Recursion",
274. H-Index,38.40%,Medium,https://leetcode.com/problems/h-index/,120,"Array,Sorting,Counting Sort",
275. H-Index II,37.60%,Medium,https://leetcode.com/problems/h-index-ii/,48,"Array,Binary Search",
276. Paint Fence,44.70%,Medium,https://leetcode.com/problems/paint-fence/,,,True
277. Find the Celebrity,46.70%,Medium,https://leetcode.com/problems/find-the-celebrity/,,,True
278. First Bad Version,43.50%,Easy,https://leetcode.com/problems/first-bad-version/,7.6K,"Binary Search,Interactive",
279. Perfect Squares,52.70%,Medium,https://leetcode.com/problems/perfect-squares/,9.4K,"Math,Dynamic Programming,Breadth-First Search",
280. Wiggle Sort,67.10%,Medium,https://leetcode.com/problems/wiggle-sort/,,,True
281. Zigzag Iterator,62.90%,Medium,https://leetcode.com/problems/zigzag-iterator/,,,True
282. Expression Add Operators,39.20%,Hard,https://leetcode.com/problems/expression-add-operators/,3K,"Math,String,Backtracking",
283. Move Zeroes,61.40%,Easy,https://leetcode.com/problems/move-zeroes/,13.7K,"Array,Two Pointers",
284. Peeking Iterator,58.70%,Medium,https://leetcode.com/problems/peeking-iterator/,1.7K,"Array,Design,Iterator",
285. Inorder Successor in BST,48.80%,Medium,https://leetcode.com/problems/inorder-successor-in-bst/,,,True
286. Walls and Gates,60.50%,Medium,https://leetcode.com/problems/walls-and-gates/,,,True
287. Find the Duplicate Number,59.10%,Medium,https://leetcode.com/problems/find-the-duplicate-number/,19.2K,"Array,Two Pointers,Binary Search,Bit Manipulation",
288. Unique Word Abbreviation,25.70%,Medium,https://leetcode.com/problems/unique-word-abbreviation/,,,True
289. Game of Life,67.30%,Medium,https://leetcode.com/problems/game-of-life/,5.7K,"Array,Matrix,Simulation",
290. Word Pattern,41.70%,Easy,https://leetcode.com/problems/word-pattern/,6.3K,"Hash Table,String",
291. Word Pattern II,47.10%,Medium,https://leetcode.com/problems/word-pattern-ii/,,,True
292. Nim Game,56.20%,Easy,https://leetcode.com/problems/nim-game/,1.4K,"Math,Brainteaser,Game Theory",
293. Flip Game,63.30%,Easy,https://leetcode.com/problems/flip-game/,,,True
294. Flip Game II,51.90%,Medium,https://leetcode.com/problems/flip-game-ii/,,,True
295. Find Median from Data Stream,51.40%,Hard,https://leetcode.com/problems/find-median-from-data-stream/,10.3K,"Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream",
296. Best Meeting Point,60.10%,Hard,https://leetcode.com/problems/best-meeting-point/,,,True
297. Serialize and Deserialize Binary Tree,55.50%,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,8.8K,"String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree",
298. Binary Tree Longest Consecutive Sequence,52.90%,Medium,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence/,,,True
299. Bulls and Cows,49.60%,Medium,https://leetcode.com/problems/bulls-and-cows/,2.2K,"Hash Table,String,Counting",
300. Longest Increasing Subsequence,52.40%,Medium,https://leetcode.com/problems/longest-increasing-subsequence/,17.3K,"Array,Binary Search,Dynamic Programming",
301. Remove Invalid Parentheses,47.20%,Hard,https://leetcode.com/problems/remove-invalid-parentheses/,5.4K,"String,Backtracking,Breadth-First Search",
302. Smallest Rectangle Enclosing Black Pixels,58.50%,Hard,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels/,,,True
303. Range Sum Query - Immutable,60.00%,Easy,https://leetcode.com/problems/range-sum-query-immutable/,2.8K,"Array,Design,Prefix Sum",
304. Range Sum Query 2D - Immutable,53.00%,Medium,https://leetcode.com/problems/range-sum-query-2d-immutable/,4.5K,"Array,Design,Matrix,Prefix Sum",
305. Number of Islands II,39.60%,Hard,https://leetcode.com/problems/number-of-islands-ii/,,,True
306. Additive Number,31.10%,Medium,https://leetcode.com/problems/additive-number/,987,"String,Backtracking",
307. Range Sum Query - Mutable,40.70%,Medium,https://leetcode.com/problems/range-sum-query-mutable/,4.4K,"Array,Design,Binary Indexed Tree,Segment Tree",
308. Range Sum Query 2D - Mutable,43.00%,Hard,https://leetcode.com/problems/range-sum-query-2d-mutable/,,,True
309. Best Time to Buy and Sell Stock with Cooldown,56.40%,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,8.3K,"Array,Dynamic Programming",
310. Minimum Height Trees,38.60%,Medium,https://leetcode.com/problems/minimum-height-trees/,6.7K,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",
311. Sparse Matrix Multiplication,67.60%,Medium,https://leetcode.com/problems/sparse-matrix-multiplication/,,,True
312. Burst Balloons,57.10%,Hard,https://leetcode.com/problems/burst-balloons/,7.7K,"Array,Dynamic Programming",
313. Super Ugly Number,45.40%,Medium,https://leetcode.com/problems/super-ugly-number/,1.9K,"Array,Math,Dynamic Programming",
314. Binary Tree Vertical Order Traversal,52.30%,Medium,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,,,True
315. Count of Smaller Numbers After Self,42.50%,Hard,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,8.1K,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",
316. Remove Duplicate Letters,45.30%,Medium,https://leetcode.com/problems/remove-duplicate-letters/,6.8K,"String,Stack,Greedy,Monotonic Stack",
317. Shortest Distance from All Buildings,42.60%,Hard,https://leetcode.com/problems/shortest-distance-from-all-buildings/,,,True
318. Maximum Product of Word Lengths,59.90%,Medium,https://leetcode.com/problems/maximum-product-of-word-lengths/,,,True
319. Bulb Switcher,52.50%,Medium,https://leetcode.com/problems/bulb-switcher/,2.3K,"Math,Brainteaser",
320. Generalized Abbreviation,57.80%,Medium,https://leetcode.com/problems/generalized-abbreviation/,,,True
321. Create Maximum Number,29.20%,Hard,https://leetcode.com/problems/create-maximum-number/,1.7K,"Stack,Greedy,Monotonic Stack",
322. Coin Change,42.20%,Medium,https://leetcode.com/problems/coin-change/,16.1K,"Array,Dynamic Programming,Breadth-First Search",
323. Number of Connected Components in an Undirected Graph,62.30%,Medium,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,,,True
324. Wiggle Sort II,33.50%,Medium,https://leetcode.com/problems/wiggle-sort-ii/,2.8K,"Array,Divide and Conquer,Sorting,Quickselect",
325. Maximum Size Subarray Sum Equals k,49.20%,Medium,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/,,,True
326. Power of Three,45.60%,Easy,https://leetcode.com/problems/power-of-three/,2.6K,"Math,Recursion",
327. Count of Range Sum,35.80%,Hard,https://leetcode.com/problems/count-of-range-sum/,2K,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",
328. Odd Even Linked List,61.30%,Medium,https://leetcode.com/problems/odd-even-linked-list/,8.3K,Linked List,
329. Longest Increasing Path in a Matrix,52.50%,Hard,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,8K,"Array,Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Topological Sort,Memoization,Matrix",
330. Patching Array,40.40%,Hard,https://leetcode.com/problems/patching-array/,1.3K,"Array,Greedy",
331. Verify Preorder Serialization of a Binary Tree,44.60%,Medium,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/,,,True
332. Reconstruct Itinerary,41.30%,Hard,https://leetcode.com/problems/reconstruct-itinerary/,4.6K,"Depth-First Search,Graph,Eulerian Circuit",
333. Largest BST Subtree,42.90%,Medium,https://leetcode.com/problems/largest-bst-subtree/,,,True
334. Increasing Triplet Subsequence,42.60%,Medium,https://leetcode.com/problems/increasing-triplet-subsequence/,6.5K,"Array,Greedy",
335. Self Crossing,29.50%,Hard,https://leetcode.com/problems/self-crossing/,,,True
336. Palindrome Pairs,35.00%,Hard,https://leetcode.com/problems/palindrome-pairs/,4.2K,"Array,Hash Table,String,Trie",
337. House Robber III,53.90%,Medium,https://leetcode.com/problems/house-robber-iii/,7.7K,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",
338. Counting Bits,75.90%,Easy,https://leetcode.com/problems/counting-bits/,8.8K,"Dynamic Programming,Bit Manipulation",
339. Nested List Weight Sum,82.30%,Medium,https://leetcode.com/problems/nested-list-weight-sum/,,,True
340. Longest Substring with At Most K Distinct Characters,48.00%,Medium,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,,,True
341. Flatten Nested List Iterator,61.90%,Medium,https://leetcode.com/problems/flatten-nested-list-iterator/,4.2K,"Stack,Tree,Depth-First Search,Design,Queue,Iterator",
342. Power of Four,46.30%,Easy,https://leetcode.com/problems/power-of-four/,3.1K,"Math,Bit Manipulation,Recursion",
343. Integer Break,56.20%,Medium,https://leetcode.com/problems/integer-break/,3.7K,"Math,Dynamic Programming",
344. Reverse String,76.90%,Easy,https://leetcode.com/problems/reverse-string/,7.3K,"Two Pointers,String",
345. Reverse Vowels of a String,50.30%,Easy,https://leetcode.com/problems/reverse-vowels-of-a-string/,3.4K,"Two Pointers,String",
346. Moving Average from Data Stream,77.10%,Easy,https://leetcode.com/problems/moving-average-from-data-stream/,,,True
347. Top K Frequent Elements,64.20%,Medium,https://leetcode.com/problems/top-k-frequent-elements/,14.4K,"Array,Hash Table,Divide and Conquer,Sorting,Heap (Priority Queue),Bucket Sort,Counting,Quickselect",
348. Design Tic-Tac-Toe,57.60%,Medium,https://leetcode.com/problems/design-tic-tac-toe/,,,True
349. Intersection of Two Arrays,71.10%,Easy,https://leetcode.com/problems/intersection-of-two-arrays/,4.7K,"Array,Hash Table,Two Pointers,Binary Search,Sorting",
350. Intersection of Two Arrays II,56.10%,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii/,6.5K,"Array,Hash Table,Two Pointers,Binary Search,Sorting",
351. Android Unlock Patterns,51.60%,Medium,https://leetcode.com/problems/android-unlock-patterns/,,,True
352. Data Stream as Disjoint Intervals,59.70%,Hard,https://leetcode.com/problems/data-stream-as-disjoint-intervals/,1.6K,"Binary Search,Design,Ordered Set",
353. Design Snake Game,39.10%,Medium,https://leetcode.com/problems/design-snake-game/,,,True
354. Russian Doll Envelopes,37.90%,Hard,https://leetcode.com/problems/russian-doll-envelopes/,5.1K,"Array,Binary Search,Dynamic Programming,Sorting",
355. Design Twitter,37.50%,Medium,https://leetcode.com/problems/design-twitter/,3K,"Hash Table,Linked List,Design,Heap (Priority Queue)",
